"symbol","status","file","refs_R","refs_tests","refs_vignettes","refs_examples_docs","classification","replacement_candidate"
"allocation","exported","R/methods.R",31,11,33,26,"keep-core",""
"ate","exported","R/causal.R",45,36,30,31,"keep-core",""
"ate_rmean","exported","R/causal.R",7,2,0,9,"keep-core",""
"att","exported","R/causal.R",15,5,5,11,"keep-core",""
"build_causal_bundle","exported","R/causal.R",25,18,0,26,"keep-core",""
"build_nimble_bundle","exported","R/build-run.R",39,83,0,37,"keep-core",""
"bundle","exported","R/wrappers.R",245,168,2,100,"keep-core",""
"cate","exported","R/causal.R",36,4,16,25,"keep-core",""
"check_glue_validity","exported","R/glue.R",1,3,0,3,"keep-core",""
"cqte","exported","R/causal.R",33,5,15,25,"keep-core",""
"damoroso","exported","R/00-base-distributions.R",2,3,0,4,"keep-core",""
"dAmoroso","exported","R/00-base-distributions.R",7,2,0,4,"keep-core",""
"damorosogpd","exported","R/amoroso.R",1,2,0,3,"keep-core",""
"dAmorosoGpd","exported","R/amoroso.R",5,3,0,4,"keep-core",""
"damorosomix","exported","R/amoroso.R",2,2,0,4,"keep-core",""
"dAmorosoMix","exported","R/amoroso.R",6,3,0,4,"keep-core",""
"damorosomixgpd","exported","R/amoroso.R",1,2,0,3,"keep-core",""
"dAmorosoMixGpd","exported","R/amoroso.R",5,3,0,4,"keep-core",""
"dCauchy","exported","R/00-base-distributions.R",6,2,0,5,"keep-core",""
"dcauchy_vec","exported","R/00-base-distributions.R",2,3,0,4,"keep-core",""
"dcauchymix","exported","R/cauchy.R",2,2,0,4,"keep-core",""
"dCauchyMix","exported","R/cauchy.R",5,68,0,4,"keep-core",""
"dgammagpd","exported","R/gamma.R",2,2,0,4,"keep-core",""
"dGammaGpd","exported","R/gamma.R",5,3,0,4,"keep-core",""
"dgammamix","exported","R/gamma.R",2,2,0,4,"keep-core",""
"dGammaMix","exported","R/gamma.R",5,3,0,4,"keep-core",""
"dgammamixgpd","exported","R/gamma.R",2,2,0,4,"keep-core",""
"dGammaMixGpd","exported","R/gamma.R",5,3,0,4,"keep-core",""
"dgpd","exported","R/00-base-distributions.R",2,3,4,4,"keep-core",""
"dGpd","exported","R/00-base-distributions.R",17,2,0,5,"keep-core",""
"dinvgauss","exported","R/00-base-distributions.R",2,3,0,4,"keep-core",""
"dInvGauss","exported","R/00-base-distributions.R",8,2,0,5,"keep-core",""
"dinvgaussgpd","exported","R/invgauss.R",1,2,0,3,"keep-core",""
"dInvGaussGpd","exported","R/invgauss.R",5,3,0,4,"keep-core",""
"dinvgaussmix","exported","R/invgauss.R",2,2,0,4,"keep-core",""
"dInvGaussMix","exported","R/invgauss.R",6,3,0,4,"keep-core",""
"dinvgaussmixgpd","exported","R/invgauss.R",1,2,0,3,"keep-core",""
"dInvGaussMixGpd","exported","R/invgauss.R",5,3,0,4,"keep-core",""
"dlaplacegpd","exported","R/laplace.R",1,2,0,3,"keep-core",""
"dLaplaceGpd","exported","R/laplace.R",5,3,0,4,"keep-core",""
"dlaplacemix","exported","R/laplace.R",2,2,0,4,"keep-core",""
"dLaplaceMix","exported","R/laplace.R",6,3,0,4,"keep-core",""
"dlaplacemixgpd","exported","R/laplace.R",1,2,0,3,"keep-core",""
"dLaplaceMixGpd","exported","R/laplace.R",5,3,0,4,"keep-core",""
"dlognormalgpd","exported","R/lognormal.R",1,2,0,3,"keep-core",""
"dLognormalGpd","exported","R/lognormal.R",5,177,26,4,"keep-core",""
"dlognormalmix","exported","R/lognormal.R",2,2,0,4,"keep-core",""
"dLognormalMix","exported","R/lognormal.R",6,138,24,4,"keep-core",""
"dlognormalmixgpd","exported","R/lognormal.R",2,2,0,4,"keep-core",""
"dLognormalMixGpd","exported","R/lognormal.R",5,3,0,4,"keep-core",""
"dnormgpd","exported","R/normal.R",2,2,0,4,"keep-core",""
"dNormGpd","exported","R/normal.R",5,3,0,4,"keep-core",""
"dnormmix","exported","R/normal.R",2,2,0,4,"keep-core",""
"dNormMix","exported","R/normal.R",6,3,0,4,"keep-core",""
"dnormmixgpd","exported","R/normal.R",2,2,0,4,"keep-core",""
"dNormMixGpd","exported","R/normal.R",5,3,0,4,"keep-core",""
"dpmgpd","exported","R/wrappers.R",25,11,5,24,"keep-core",""
"dpmgpd.causal","exported","R/wrappers.R",12,1,6,10,"keep-core",""
"dpmgpd.cluster","exported","R/cluster.R",6,3,2,22,"keep-core",""
"dpmix","exported","R/wrappers.R",12,1,3,11,"keep-core",""
"dpmix.causal","exported","R/wrappers.R",10,1,2,8,"keep-core",""
"dpmix.cluster","exported","R/cluster.R",8,16,4,23,"keep-core",""
"ess_summary","exported","R/methods.R",5,8,0,6,"keep-core",""
"get_kernel_registry","exported","R/01-registry.R",24,12,0,14,"keep-core",""
"get_tail_registry","exported","R/01-registry.R",3,3,0,5,"keep-core",""
"init_kernel_registry","exported","R/01-registry.R",7,10,0,6,"keep-core",""
"kernel_support_table","exported","R/01-registry.R",12,17,0,14,"keep-core",""
"mcmc","exported","R/wrappers.R",112,80,29,41,"keep-core",""
"pamoroso","exported","R/00-base-distributions.R",1,3,0,3,"keep-core",""
"pAmoroso","exported","R/00-base-distributions.R",15,2,0,4,"keep-core",""
"pamorosogpd","exported","R/amoroso.R",1,2,0,3,"keep-core",""
